project_id,ScenarioID,Region,implementation_period,avg_annual_land_building,land_building_year50,n_years_land_building_positive,BaseID,ProjectName,TypeCode,display_id,HSI_SPSTA,HSI_OYSTE,cost_total_min,cost_total_max,freshmarsh_benefit,project_freshmarsh_area_m2,fwoa_freshmarsh_area_m2,n_freshmarsh_years
3160000,7,Pontchartrain,1,12092313.461538462,628800300.0,52,3160000,Chandeleur Sound Island Restoration,MC,316,-0.023554048117469337,0.19102782756090164,,,,2198700.0,,1
1080000,7,Barataria,1,51161.53846153846,7981200.0,83,1080000,Atchafalaya River Diversion,DI,108,-0.0025667758812581687,0.00046991020804498253,794345543.0258552,794345543.0258552,,,,
3500000,8,Chenier Plain,1,-32616432.692307692,-1696054500.0,0,3500000,Cameron-Creole Hydrologic Restoration Improvements,HR,350,0.0003566510147518582,-0.0010492503643035889,10627182.59842901,10627182.59842901,,19395000.0,,1
3120000,7,Pontchartrain,2,-12260645.454545455,-404601300.0,0,3120000,Manchac Wetland Restoration and Maurepas Landbridge,IP,312,,,,,,96302700.0,,1
2450000,8,Barataria,1,3293567.3076923075,171265500.0,52,2450000,LaBranche Hydrologic Restoration,HR,245,-0.0057481503486633305,0.0028243644369973075,122456533.32283677,122456533.32283677,,27411300.0,,1
3350100,7,Terrebonne,2,113079000.0,3731607000.0,32,3350100,Eastern Terrebonne Landbridge - West,LB,335b,,,,,,9971100.0,,1
2430000,7,Pontchartrain,1,-26213780.769230768,-1363116600.0,10,2430000,Ama Sediment Diversion,DI,243,-0.00717240571975708,0.021155369157592457,1324140723.1901567,1324140723.1901567,,,,
60000,7,Pontchartrain,2,-89496627.27272727,-2953388700.0,0,60000,Lower Breton Diversion,DI,006,,,,,,,,
3350300,8,Terrebonne,1,82923949.03846154,17248181400.0,178,3350300,Eastern Terrebonne Landbridge - East,LB,335d,-0.008777418988091605,-0.011128490605549506,482852024.0887858,482852024.0887858,,14803200.0,,1
2940000,8,Chenier Plain,2,52183265.625,1669864500.0,32,2940000,Freshwater Bayou South Marsh Creation,MC,294,,,,,,27879300.0,,1
1280000,7,Terrebonne,1,-3250419.230769231,-169021800.0,0,1280000,Bayou Dularge Ridge Restoration,RR,128,0.0002001202241940932,0.0,8069802.024533557,8069802.024533557,,,,
3480000,8,Chenier Plain,1,-25680444.230769232,-1335383100.0,9,3480000,Calcasieu/Sabine Basin Hydrologic Restoration,HR,348,0.00006640329957008362,-0.0015470216671625773,68755106.70696343,68755106.70696343,,,,
3240000,7,Terrebonne,1,-1374888.4615384615,-71494200.0,0,3240000,Upper Barataria Hydrologic Restoration,HR,324,0.0007419504902579567,0.005647351344426473,89907369.96580917,89907369.96580917,,,,
540000,7,Pontchartrain,1,-28524946.153846152,-1483297200.0,10,540000,Bayou LaLoutre Ridge Restoration,RR,054,-0.012013360857963562,0.03438049058119456,,,,,,
890100,8,Barataria,1,43050548.07692308,2238628500.0,38,890100,Lower Barataria Marsh Creation,MC,089b,-0.04814298137238151,-0.025949653804950092,2206898966.4348164,2206898966.4348164,,77499900.0,,1
2430000,7,Barataria,1,-37314242.307692304,-1940340600.0,2,2430000,Ama Sediment Diversion,DI,243,-0.012047693133354187,0.0014321263879537582,1324140723.1901567,1324140723.1901567,,,,
2450000,8,Barataria,2,82793221.875,2649383100.0,26,2450000,LaBranche Hydrologic Restoration,HR,245,,,,,,27411300.0,,1
3160000,8,Pontchartrain,1,1705621.1538461538,88692300.0,47,3160000,Chandeleur Sound Island Restoration,MC,316,-0.02153299152851105,0.17572836835797018,,,,2154600.0,,1
3360000,7,Terrebonne,1,1321753.8461538462,68731200.0,41,3360000,Greater Terrebonne Bay Rim Ridge Restoration with Marsh Creation,IP,336,0.002862446687438271,0.0071363333198759295,491376875.7531229,491376875.7531229,,2751300.0,,1
